frame,timestamp,class,confidence,track_id,x1,y1,x2,y2
154,6.16,No Helmet,0.4574,,1190,530,1239,590
160,6.4,Helmet,0.5639,,1150,554,1189,598
160,6.4,Helmet,0.2705,,1225,901,1428,1064
163,6.52,Helmet,0.4661,,1005,473,1055,531
164,6.56,No Helmet,0.682,,1103,540,1149,594
165,6.6,No Helmet,0.6211,186,1097,540,1143,593
166,6.64,No Helmet,0.7013,186,1089,538,1135,593
167,6.68,No Helmet,0.6795,186,1076,533,1121,585
168,6.72,No Helmet,0.7551,186,1065,529,1113,585
169,6.76,No Helmet,0.6668,186,1057,532,1104,587
170,6.8,No Helmet,0.4195,186,1045,532,1090,585
171,6.84,No Helmet,0.4266,,1010,487,1061,553
172,6.88,Helmet,0.3477,,1007,488,1059,557
173,6.92,No Helmet,0.5763,189,1002,488,1055,557
174,6.96,No Helmet,0.3955,189,996,484,1052,558
175,7.0,No Helmet,0.7062,189,996,482,1048,551
176,7.04,No Helmet,0.3438,189,1000,476,1049,541
176,7.04,Helmet,0.6246,192,491,587,527,632
177,7.08,No Helmet,0.3796,189,1004,477,1052,540
177,7.08,No Helmet,0.7567,194,944,519,1001,579
177,7.08,Helmet,0.4359,195,1222,901,1422,1065
178,7.12,No Helmet,0.4341,189,1002,475,1048,537
178,7.12,Helmet,0.3869,194,932,518,990,580
178,7.12,Helmet,0.3487,195,1222,901,1423,1065
179,7.16,No Helmet,0.3349,189,1003,473,1047,532
179,7.16,No Helmet,0.7769,194,917,517,975,580
179,7.16,Helmet,0.3077,195,1222,901,1423,1065
179,7.16,Helmet,0.7547,196,529,582,569,633
